证券代码,证券简称,统计截止日期,报表类型,是否发生差错更正,差错更正披露日期,货币资金,其中:客户资金存款,结算备付金,其中：客户备付金,现金及存放中央银行款项,存放同业款项,贵金属,拆出资金净额,交易性金融资产,衍生金融资产,短期投资净额,应收票据净额,应收账款净额,应收款项融资,预付款项净额,应收保费净额,应收分保账款净额,应收代位追偿款净额,应收分保合同准备金净额,其中:应收分保未到期责任准备金净额,其中:应收分保未决赔款准备金净额,其中:应收分保寿险责任准备金净额,其中:应收分保长期健康险责任准备金净额,应收利息净额,应收股利净额,其他应收款净额,买入返售金融资产净额,存货净额,其中：数据资源（存货）,合同资产,持有待售资产,一年内到期的非流动资产,存出保证金,其他流动资产,流动资产合计,保户质押贷款净额,定期存款,发放贷款及垫款净额,债权投资,以摊余成本计量的金融资产,可供出售金融资产净额,其他债权投资,以公允价值计量且其变动计入其他综合收益的债务工具投资,持有至到期投资净额,长期应收款净额,长期股权投资净额,其他权益工具投资,以公允价值计量且其变动计入其他综合收益的权益工具投资,以公允价值计量且其变动计入其他综合收益的金融资产,其他非流动金融资产,长期债权投资净额,长期投资净额,存出资本保证金,独立账户资产,投资性房地产净额,固定资产净额,在建工程净额,工程物资,固定资产清理,生产性生物资产净额,油气资产净额,使用权资产,无形资产净额,其中:交易席位费,其中：数据资源（无形资产）,开发支出,其中：数据资源（开发支出）,商誉净额,长期待摊费用,递延所得税资产,代理业务资产,其他非流动资产,非流动资产合计,其他资产,资产总计,短期借款,其中:质押借款,应付短期融资款,向中央银行借款,吸收存款及同业存放,其中：同业及其他金融机构存放款项,其中：吸收存款,拆入资金,交易性金融负债,衍生金融负债,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付赔付款,应付保单红利,保户储金及投资款,保险合同准备金,其中:未到期责任准备金,其中:未决赔款准备金,其中:寿险责任准备金,其中:长期健康险责任准备金,其他应付款,应付分保账款,代理买卖证券款,代理承销证券款,预收保费,持有待售负债,一年内到期的非流动负债,其他流动负债,递延收益-流动负债,流动负债合计,长期借款,独立账户负债,应付债券,租赁负债,长期应付款,长期应付职工薪酬,专项应付款,长期负债合计,预计负债,代理业务负债,递延所得税负债,其他非流动负债,递延收益-非流动负债,非流动负债合计,其他负债,负债合计,实收资本(或股本),其他权益工具,其中：优先股,其中：永续债,其中：其他,资本公积,减：库存股,盈余公积,一般风险准备,未分配利润,外币报表折算差额,加：未确认的投资损失,交易风险准备,专项储备,其他综合收益,归属于母公司所有者权益合计,少数股东权益,所有者权益合计,负债与所有者权益总计
157,中联重科,2022-01-01,A,0,,15166953759.11,,,,,,,,6407551656.31,,,358589332.35,26830097127.93,1523034860.87,844817600.49,,,,,,,,,30413845.39,,1243782421.96,,13501450039.78,,,,4577748675.86,,2602857006.38,73056882481.04,,,139703279.73,,,,,,,23403076883.51,4189559150.66,2306296652.65,,,111282420.48,,,,,,6772542081.22,2523014566.82,,,,,445056844.05,5471888499.72,,,45990860.02,,1944990705.11,14565138.89,1147935530.38,,445375303.54,48961277916.78,,122018160397.82,3312872154.76,,,,,,,,,,9528640980.97,14708779954.95,,1873714983.72,,,887920506.29,389501445.2,,,,,,,,,,,4389031366.83,,,,,,7893021122.84,6688535760.41,,49672018275.97,4902232197.63,,2991765848.09,320219402.1,664055668.85,,,8878273116.67,,,405251528.9,3565575642.06,1199875683.61,14048975971.24,,63720994247.21,8677992236.0,,,,,19600953473.78,,4384443521.49,168800178.2,25405039654.84,,,,91281369.96,-1460659399.72,56867851034.55,1429315116.06,58297166150.61,122018160397.82
157,中联重科,2022-03-31,A,0,,16071450928.25,,,,,,,,9420673773.43,,,425748718.48,41764775525.06,1333975796.73,1167308242.26,,,,,,,,,25414676.41,,1818592416.33,,16374881558.3,,1914515.0,,5040917217.43,,2617099510.16,96037338201.43,,,141576640.46,,,,,,,7564120935.58,4243888329.96,2288478322.61,,,89723286.5,,,,,153114462.67,6767789121.28,3209401912.14,,,,,440313504.74,5549377963.73,,,47667168.12,,2539290620.61,19007949.19,1158533438.68,,333168718.09,34545452374.36,,130582790575.79,6173755422.41,,,,,,,,,,13149547399.3,14301100262.87,,2064310476.27,,,523334539.37,234948518.03,,,,,,,,,,,3677858231.86,,,,,,8130999758.99,7263245956.83,,55519100565.93,6331578381.13,,2935006228.84,337639660.06,665369419.53,,,10269593689.56,7302402.85,,436086893.25,3517079783.3,1211103993.78,15441166762.74,,70960267328.67,8677992236.0,,,,,19641696772.93,,4384443521.49,168800178.2,26279192834.85,,,,95690389.0,-1475137926.38,57772678006.09,1849845241.03,59622523247.12,130582790575.79
157,中联重科,2022-06-30,A,0,,17848937739.86,,,,,,,,5966695443.14,,,104049550.91,29804411184.84,1243201304.33,1196972754.65,,,,,,,,,,47121465.9,1518311278.4,,15839886076.89,,2117961.0,,4803844582.47,,2710782115.34,81039209991.83,,,170407714.6,,,,,,,21441558062.55,4208268044.21,2187383633.76,,,91252758.63,,,,,161962304.32,6969181506.15,3608153829.87,,,,,535020743.02,5724883359.37,,,52251626.56,,2522332904.51,17820597.67,1122779737.48,,511107822.57,49324364645.27,,130363574637.1,4780059839.64,,,,,,,,,,7354431313.83,14254744828.84,,2018537665.14,,,570339094.36,279711280.75,,2728517813.01,,,,,,,,,6888779084.38,,,,,,9396288341.69,13791345261.85,,59334236710.48,7216244596.21,,954574909.58,388433378.34,647217275.02,,,9206470159.15,4013178.94,,424052708.32,3517047667.01,1196949692.21,14348533405.63,,73682770116.11,8677992236.0,,,,,19067791569.84,,4384443521.49,168800178.2,24330244146.15,,,,111953709.76,-1732371173.64,55008854187.8,1671950333.19,56680804520.99,130363574637.1
157,中联重科,2022-09-30,A,0,,14938998298.14,,,,,,,,7126014861.6,,,79189431.14,29476430690.12,972285327.61,1155732314.93,,,,,,,,,,7200000.0,1151890549.51,,16434275329.49,,2011355.0,,4751643849.27,,2576644703.93,78665116710.74,,,242036406.55,,,,,,,19628669575.1,4444065894.52,2179899406.47,,,73280581.57,,,,,160764133.0,6971219086.62,4324504642.85,,,,,534771857.96,5764705859.11,,,34084764.6,,2518943988.36,16882878.86,1135888726.38,,563313436.53,48593031238.48,,127258147949.22,6063624500.37,,,,,,,,,,5193967622.68,13157025078.96,,2101755975.33,,,620852875.12,417992543.91,,,,,,,,,,,3612508257.58,,,,,,8705374840.56,13355608760.52,,53228710455.03,10358143477.06,,979574909.58,389095415.06,618534778.47,,,12345348580.17,1125428.74,,476918450.28,4267047667.01,1385133566.9,18475573693.1,,71704284148.13,8677992236.0,,,,,19112504942.19,1430293247.15,4384443521.49,168800178.2,24783054712.14,,,,116036524.84,-1951241386.3,53861297481.41,1692566319.68,55553863801.09,127258147949.22
157,中联重科,2022-12-31,A,0,,15498545905.21,,,,,,,,4010628545.21,,,286877907.24,27915299278.22,951659926.4,2632392860.75,,,,,,,,,,,684939241.17,,14202648421.87,,2405355.0,,4886338226.84,,2513969315.06,73585704982.97,,,276783089.65,,,,,,,18285982168.56,4475778991.28,2185937691.85,,,76992915.25,,,,,161403069.56,10418455813.66,3373322782.12,,,,,542928424.67,5325558319.39,,,18630319.83,,2598029526.89,15950273.08,1907056617.5,,304510625.78,49967320629.07,,123553025612.04,6200631040.82,,,,,,,,,,8159041902.0,13074723114.62,,1891875140.26,,,789632770.92,371716576.47,,,,,,,,,,,6584390919.65,,,,,,4990727735.33,6328625967.78,,48391365167.85,10936951171.44,,25337499.98,355356454.41,593567328.47,,,11911212454.3,18364638.72,,841722663.63,3117160878.0,2297978405.98,18186439040.63,,66577804208.48,8677992236.0,,,,,19625127525.84,1556215452.58,4384443521.49,168800178.2,24901715668.97,,,,132598236.72,-1593364017.77,54741097896.87,2234123506.69,56975221403.56,123553025612.04
157,中联重科,2023-01-01,A,0,,15498545905.21,,,,,,,,4010628545.21,,,286877907.24,27915299278.22,951659926.4,2632392860.75,,,,,,,,,,,684939241.17,,14202648421.87,,2405355.0,,4886338226.84,,2513969315.06,73585704982.97,,,276783089.65,,,,,,,18285982168.56,4475778991.28,2185937691.85,,,76992915.25,,,,,161403069.56,10418455813.66,3373322782.12,,,,,542928424.67,5325558319.39,,,18630319.83,,2598029526.89,15950273.08,1907056617.5,,304510625.78,49967320629.07,,123553025612.04,6200631040.82,,,,,,,,,,8159041902.0,13074723114.62,,1891875140.26,,,789632770.92,371716576.47,,,,,,,,,,,6584390919.65,,,,,,4990727735.33,6328625967.78,,48391365167.85,10936951171.44,,25337499.98,355356454.41,593567328.47,,,11911212454.3,18364638.72,,841722663.63,3117160878.0,2297978405.98,18186439040.63,,66577804208.48,8677992236.0,,,,,19625127525.84,1556215452.58,4384443521.49,168800178.2,24901715668.97,,,,132598236.72,-1593364017.77,54741097896.87,2234123506.69,56975221403.56,123553025612.04
157,中联重科,2023-03-31,A,0,,14381998113.82,,,,,,,,5235068519.92,,,262685866.52,27106770881.2,649450041.38,3064006795.97,,,,,,,,,,,869045448.98,,19571761548.96,,2339335.0,,4731196020.17,,2868903682.06,78743226253.98,,,304085568.6,,,,,,,18212240802.43,4525663107.24,2330776792.4,,,63896627.85,,,,,160191350.57,11455724054.72,2850294913.43,,,,,550892487.1,5452145323.05,,,19759048.9,,2610725726.55,14850939.46,1910196429.24,,447342365.17,50908785536.71,,129652011790.69,7910535359.27,,,,,,,,,,11144261927.39,13131867256.83,,2105364826.24,,,412807292.17,347476249.8,,,,,,,,,,,6672965593.72,,,,,,3720703158.85,6708542045.77,,52154523710.04,11556028272.79,,25506249.98,355293294.38,570453802.86,,,12507281620.01,20975591.13,,843748237.49,3113850858.0,3852739919.49,20338596226.12,,72493119936.16,8677992236.0,,,,,19699585843.21,2641002729.02,4384443521.49,168800178.2,25710250324.79,,,,137957602.55,-1545251579.07,54592775398.15,2566116456.38,57158891854.53,129652011790.69
157,中联重科,2023-06-30,A,0,,16442151225.72,,,,,,,,3504506672.83,,,177586979.43,25389616244.93,867864328.68,2970232662.9,,,,,,,,,,43913612.49,826092312.77,,21183791235.77,,2238335.0,,5007371690.3,,2515609880.12,78887061568.45,,,398625278.86,,,,,,,20117738555.18,4502885934.03,2312472774.09,,,163071578.32,,,,,158979631.59,11328686567.5,4295846381.68,,,,,461124699.81,5404746018.35,,,15011941.89,,2680488632.79,15261073.77,2256017387.33,,598275873.98,54709232329.17,,133596293897.62,5181162451.95,,,,,,,,,95900066.59,8963867029.78,15429826243.92,,1921820903.46,,,612504137.43,334591878.86,,2641291350.4,,,,,,,,,9224741640.32,,,,,,3754412236.88,8130066498.8,,53648893087.99,15046572330.86,,25675000.0,293117522.05,508337771.33,,,15873702624.24,47880644.78,,837758809.08,3113850894.5,4179352202.28,24052545174.88,,77701438262.87,8677992236.0,,,,,19765365916.71,2641002729.02,4384443521.49,168800178.2,24298998495.77,,,,149888666.5,-1572482944.43,53232003341.22,2662852293.53,55894855634.75,133596293897.62
157,中联重科,2023-09-30,A,0,,15595386399.37,,,,,,,,3769973097.95,,,141622183.95,26851245512.55,1115852743.16,2961459905.99,,,,,,,,,,43913612.49,881976191.18,,21917352019.18,,2092320.0,,5037748565.36,,2094399671.96,80369108610.65,,,491291184.92,,,,,,,20718719618.08,4509499922.05,2436248003.86,,,166095871.25,,,,,157767912.6,11235145026.66,5279546924.68,,,,,481652379.84,5263467352.25,,,15332636.05,,2627433365.42,14377237.37,2287562922.71,,676984823.61,56361125181.35,,136730233792.0,6593131350.93,,,,,,,,,99050196.61,8339942886.55,13090239842.34,,2036384877.53,,,606277464.81,354139184.58,,,,,,,,,,,6679848892.9,,,,,,4586906617.33,13997086587.13,,56383007900.71,14695203035.15,,,403556874.24,467381756.32,,,15566141665.71,54163129.44,,802712098.76,3114982892.74,3978625960.87,23516625747.52,,79899633648.23,8677992236.0,,,,,19781445160.25,2641002729.02,4384443521.49,203987421.39,25078763504.72,,,,155953367.64,-1518787895.72,54122794586.75,2707805557.02,56830600143.77,136730233792.0
157,中联重科,2023-12-31,A,0,,15870434751.38,,,,,,,,1767189362.07,,,83192096.43,24612186679.56,1489041130.97,2967148713.19,,,,,,,,,,,704760099.17,,22503500945.99,,2627320.0,,5123280096.61,,2847798694.49,77971159889.86,,,568151491.48,,,,,,,17001984894.22,4496957924.86,2416787778.64,,,251913958.43,,,,,89973201.76,10935443001.8,5673948610.53,,,,,508087876.93,5085072388.07,,,15769545.37,,2677238496.9,36335830.36,2302752231.66,,830812288.12,52891229519.13,,130862389408.99,5654517982.93,,,,,,,,,8975347.95,11835605413.58,11214617640.67,,1816918723.1,,,895346600.03,376852861.49,,,,,,,,,,,6639348616.24,,,,,,1890911644.97,9663322865.02,,49996417695.98,14944417590.31,,,307700152.43,443609714.45,,,15695727457.19,51727345.03,,807213853.06,2655595401.5,2488430445.33,21698694502.11,,71695112198.09,8677992236.0,,,,,18725104258.74,,4384443521.49,203987421.39,25734065097.58,,,,176199108.39,-1494771295.4,56407020348.19,2760256862.71,59167277210.9,130862389408.99
