证券代码,证券简称,统计截止日期,报表类型,是否发生差错更正,差错更正披露日期,净利润,信用减值损失,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,投资性房地产折旧及摊销,使用权资产折旧及摊销,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失(收益以“－”号填列),固定资产报废损失(收益以“－”号填列),公允价值变动损失(收益以“－”号填列),财务费用(收益以“－”号填列),投资损失(收益以“－”号填列),递延所得税资产减少(增加以“－”号填列),递延所得税负债增加(减少以“－”号填列),存货的减少(增加以“－”号填列),经营性应收项目的减少(增加以“－”号填列),经营性应付项目的增加(减少以“－”号填列),其他,经营活动产生的现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租赁固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物净增加额
988,华工科技,2022-01-01,A,0,,748050403.63,46736061.35,,21656714.72,163913741.62,,,45179055.44,18378618.78,-2454462.52,373327.34,-23878421.73,38197135.3,-331635239.74,-23381834.92,5952205.88,-362653659.41,-1082621208.83,799226319.95,25365602.29,86404359.15,,,,3108552007.14,3048853863.29,,,59698143.85
988,华工科技,2022-06-30,A,0,,555245176.91,,,13145564.16,75022157.44,,,23509068.05,8752505.47,700312.26,12801.12,-3737055.52,27575372.74,-160717386.57,2468015.95,36687947.34,-363713460.59,-1043725529.17,585651332.06,17584125.72,-225539052.63,,,,2831862869.14,3108552007.14,,,-276689138.0
988,华工科技,2022-12-31,A,0,,890566433.79,29133140.98,,59030512.31,160796214.09,,,53500718.01,25530590.93,192508.22,60840.54,-5885276.47,1469804.31,-239603263.71,-772772.39,47030104.28,-342358608.39,-1244228806.9,1107285456.24,37466514.34,579214110.18,,,,3209618607.53,3108552007.14,,,101066600.39
988,华工科技,2023-01-01,A,0,,890433499.46,29133140.98,,59030512.31,160796214.09,,16772814.34,53500718.01,25530590.93,192508.22,60840.54,-5885276.47,61683502.94,-239603263.71,-11293683.36,57683949.58,-342358608.39,-1304442505.53,1107285456.24,20693700.0,579214110.18,,,,3209618607.53,3108552007.14,,,101066600.39
988,华工科技,2023-06-30,A,0,,579142455.43,12503216.0,,-2728405.68,62852871.18,,,27675311.01,7610006.71,-2246046.41,249023.66,-1395641.5,33561403.55,-135435804.27,154564.75,-22850121.51,33564899.4,-150047947.43,-108029032.88,21118009.89,355698761.9,,,,3915605285.12,3209618607.53,,,705986677.59
988,华工科技,2023-12-31,A,0,,998589383.59,45842375.79,,18580524.05,153636844.02,,18795942.92,58245986.89,19636816.1,-804571.55,449739.46,1869113.13,88690280.19,-228162815.59,-29966963.01,-16564720.25,450329672.01,-214925949.68,95004633.52,18654689.54,1477900981.13,,,,4176371922.28,3209618607.53,,,966753314.75
988,华工科技,2024-01-01,A,0,,1003288198.74,47188217.53,,16661775.78,162082949.89,,18795942.92,59980263.57,20314820.26,-806659.27,387673.86,1869113.13,88811113.52,-224074110.3,-29576624.92,-16564720.25,453937003.93,-230991365.56,98231023.81,18654689.54,1488189306.18,,,,4214181734.33,3235656173.33,,,978525561.0
988,华工科技,2024-06-30,A,0,,625733895.29,-7372307.65,,15183529.77,80468066.14,,7862275.69,31652819.29,11215028.18,-396508.77,2897.61,4244168.47,32814230.48,2961677.12,-2940574.06,-7845643.46,-994700494.85,-529394715.29,497877926.81,8622375.0,-224011354.23,,,,3261533950.83,4176371922.28,,,-914837971.45
988,华工科技,2024-12-31,A,0,,1203085856.56,8396156.44,,51388476.89,181080427.15,,21840964.14,63425379.64,33545787.42,-3556078.9,-1291722.52,-1893111.8,75179278.93,-98551466.67,-22489670.3,-6326190.16,-763614876.47,-1115392467.56,1098434755.12,8622375.0,731883872.91,,,,4382583860.47,4214181734.33,,,168402126.14
988,华工科技,2025-06-30,A,0,,905960446.5,,,-2502897.62,112228020.17,,11811112.07,37799619.95,23620538.69,1003110.36,-335248.31,-28754287.61,34946456.41,1752628.82,11871487.09,535834.74,-560025415.58,-649510757.7,-381839732.45,,-481439084.47,,,,3190849426.8,4382583860.47,,,-1191734433.67
