证券代码,证券简称,统计截止日期,报表类型,是否发生差错更正,差错更正披露日期,营业总收入,营业收入,利息净收入,利息收入,利息支出,已赚保费,保险业务收入,其中：分保费收入,减：分出保费,减：提取未到期责任准备金,手续费及佣金净收入,其中：代理买卖证券业务净收入,其中:证券承销业务净收入,其中：受托客户资产管理业务净收入,手续费及佣金收入,手续费及佣金支出,其他业务收入,营业总成本,营业成本,退保金,赔付支出净额,赔付支出,减：摊回赔付支出,提取保险责任准备金净额,提取保险责任准备金,减：摊回保险责任准备金,保单红利支出,分保费用,税金及附加,业务及管理费,减：摊回分保费用,保险业务手续费及佣金支出,销售费用,管理费用,研发费用,财务费用,其中：利息费用(财务费用),其中：利息收入(财务费用),其他收益,投资收益,其中：对联营企业和合营企业的投资收益,其中：以摊余成本计量的金融资产终止确认收益,汇兑收益,净敞口套期收益,公允价值变动收益,资产减值损失,信用减值损失,资产处置收益,其他业务成本,其他业务利润,营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置净损益,其中：非流动资产处置损失,利润总额,减：所得税费用,未确认的投资损失,影响净利润的其他项目,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,归属于母公司其他权益工具持有者的净利润,少数股东损益,基本每股收益,稀释每股收益,其他综合收益(损失),归属母公司所有者的其他综合收益的税后净额,归属于少数股东的其他综合收益的税后净额,综合收益总额,归属于母公司所有者的综合收益,归属于母公司其他权益工具持有者的综合收益总额,归属少数股东的综合收益
988,华工科技,2022-01-01,A,0,,10166747478.73,10166747478.73,,,,,,,,,,,,,,,,9773988667.41,8434568420.86,,,,,,,,,,45292239.42,,,,525837147.68,420655042.31,406573514.69,-58937697.55,35004149.57,99186675.77,139992835.01,331635239.74,205749288.83,,,,23878421.73,-21656714.72,-46736061.35,2454462.52,,,822326994.25,3322983.18,,1093562.1,,,824556415.33,76506011.7,,,748050403.63,,,760983179.01,,-12932775.38,0.76,0.76,-632276.47,,,747418127.16,760401211.24,,-12983084.08
988,华工科技,2022-03-31,A,0,,2858113370.5,2858113370.5,,,,,,,,,,,,,,,,2664106083.71,2343152815.49,,,,,,,,,,14494590.88,,,,148072237.24,72216941.3,103886512.85,-17717014.05,14086113.86,32516203.68,19756963.52,19253669.58,13624728.07,,,,1770448.18,-1968071.84,4706522.18,-33993.14,,,237492825.27,1722217.94,,98895.31,,,239116147.9,20806387.91,,,218309759.99,,,225973833.05,,-7664073.06,0.22,0.22,-19753.82,,,218290006.17,225954079.23,,-7664073.06
988,华工科技,2022-06-30,A,0,,6217583250.33,6217583250.33,,,,,,,,,,,,,,,,5755156541.04,5085986738.38,,,,,,,,,,32433598.58,,,,298649627.59,147736323.6,230700705.21,-40350452.32,33228373.23,69892790.77,39262421.5,160717386.57,151392468.87,,,,3737055.52,-1736518.56,-11409045.6,-700312.26,,,652297696.46,2197701.9,,623516.27,,,653871882.09,98626705.18,,,555245176.91,,,563309061.55,,-8063884.64,0.56,0.56,554422.06,,,555799598.97,563717088.24,,-7917489.27
988,华工科技,2022-09-30,A,0,,8850571693.36,8850571693.36,,,,,,,,,,,,,,,,8208260944.74,7198341231.33,,,,,,,,,,43636561.24,,,,449724678.34,222445053.45,369931229.7,-75817809.32,52210378.62,109529951.91,71583142.6,148029637.12,138731885.33,,,,-350039.36,-10325797.03,-21707410.81,-644840.22,,,828895440.92,2988521.67,,1639000.37,,,830244962.22,118235354.41,,,712009607.81,,,722226062.98,,-10216455.17,0.72,0.72,448965.24,,,712458573.05,722528632.85,,-10070059.8
988,华工科技,2022-12-31,A,0,,12011028845.77,12011028845.77,,,,,,,,,,,,,,,,11282706228.54,9709473114.19,,,,,,,,,,60185919.83,,,,607653386.84,425620242.17,565656060.72,-85882495.21,74324627.22,150807337.68,120936708.13,239603263.71,127823657.39,,,,5885276.47,-59030512.31,-29133140.98,-192508.22,,,1006391704.03,4479650.69,,1683678.45,,,1009187676.27,118621242.48,,,890566433.79,,,906083645.05,,-15517211.26,0.9,0.9,705095.72,,,891271529.51,906531927.42,,-15260397.91
988,华工科技,2023-01-01,A,1,2024-03-28,12011028845.77,12011028845.77,,,,,,,,,,,,,,,,11282706228.54,9709473114.19,,,,,,,,,,60185919.83,,,,607653386.84,425620242.17,565656060.72,-85882495.21,74324627.22,150807337.68,120936708.13,239603263.71,127823657.39,,,,5885276.47,-59030512.31,-29133140.98,-192508.22,,,1006391704.03,4479650.69,,1683678.45,,,1009187676.27,118754176.81,,,890433499.46,890433499.46,,905942377.81,,-15508878.35,0.9,0.9,705095.72,448282.37,256813.35,891138595.18,906390660.18,,-15252065.0
988,华工科技,2023-03-31,A,0,,2664844769.27,2664844769.27,,,,,,,,,,,,,,,,2416791634.69,2100845774.73,,,,,,,,,,13029480.85,,,,121248074.25,70522484.7,128198530.91,-17052710.75,20163779.93,43014482.89,27983583.78,64333627.78,58704895.82,,,,15963444.5,-2078126.85,772104.4,-14719.24,,,355013048.95,250566.04,,682811.51,,,354580803.48,46740222.28,,,307840581.2,,,308100357.33,,-259776.13,0.31,0.31,-277097.1,,,307563484.1,307823260.23,,-259776.13
988,华工科技,2023-06-30,A,0,,5023673249.55,5023673249.55,,,,,,,,,,,,,,,,4547193327.06,3878524847.53,,,,,,,,,,26371932.55,,,,268599076.79,142585036.92,286398069.09,-55285635.82,45383948.19,90185054.77,61329870.39,135435804.27,130936607.0,,,,1395641.5,2728405.68,-12503216.0,2246046.41,,,667112474.74,1199087.66,,3718258.42,,,664593303.98,85450848.55,,,579142455.43,,,581797639.92,,-2655184.49,0.58,0.58,250522.2,,,579392977.63,582066770.31,,-2673792.68
988,华工科技,2023-09-30,A,0,,7207504778.83,7207504778.83,,,,,,,,,,,,,,,,6513328919.87,5486269139.29,,,,,,,,,,38571294.11,,,,396229419.84,206051292.75,462590387.78,-76382613.9,70602398.73,139325375.26,106289632.56,130575646.23,129447948.96,,,,5569380.03,-4612799.08,-11398575.03,2228329.75,,,922827473.42,1608577.1,,5507424.79,,,918928625.73,109981517.83,,,808947107.9,,,811810032.03,,-2862924.13,0.81,0.81,202654.49,,,809149762.39,812031294.71,,-2881532.32
988,华工科技,2023-12-31,A,0,,10208274040.97,10208274040.97,,,,,,,,,,,,,,,,9507290840.02,7848727453.01,,,,,,,,,,50936436.2,,,,552599076.61,412334995.49,749557230.74,-106864352.03,93117764.12,194529092.15,244849630.31,228025758.74,134832635.23,,,,-1869113.13,-18580524.05,-45842375.79,804571.55,,,1108371148.58,2466297.91,,6233950.41,,,1104603496.08,106014112.49,,,998589383.59,998589383.59,,1006897166.9,,-8307783.31,1.0,1.0,3533.01,-105782.37,109315.38,998592916.6,1006791384.53,,-8198467.93
