交易日期,市场风险溢价因子(流通市值加权),市场风险溢价因子(总市值加权),市值因子(流通市值加权),市值因子(总市值加权),帐面市值比因子(流通市值加权),帐面市值比因子(总市值加权),盈利能力因子(流通市值加权),盈利能力因子(总市值加权),投资模式因子(流通市值加权),投资模式因子(总市值加权)
2020-01-02,0.013908,0.014448,0.004967,0.004605,0.001074,0.000124,-0.003879,-0.004481,0.003834,0.004429
2020-01-03,0.000695,0.000842,0.005731,0.005036,0.001827,0.000648,-0.006727,-0.007367,0.006076,0.006464
2020-01-06,0.000904,0.001042,0.006816,0.006748,-0.001526,-0.001851,-0.003094,-0.00299,0.00303,0.003403
2020-01-07,0.008288,0.00882,0.005132,0.004944,-0.002979,-0.004049,-0.00255,-0.001237,-0.001533,-0.001421
2020-01-08,-0.012279,-0.012487,-0.002246,-0.001641,-0.001237,-0.001198,0.002713,0.002498,-0.001798,-0.001659
2020-01-09,0.010808,0.011747,0.006063,0.005795,-0.007443,-0.007967,0.003912,0.005289,-0.006296,-0.005936
2020-01-10,-0.001184,-0.001143,-7.7e-05,0.000681,-0.003269,-0.003217,0.005037,0.006216,-0.005215,-0.005549
2020-01-13,0.009011,0.009573,0.001149,0.001774,-0.003803,-0.004155,0.004377,0.004594,-0.006694,-0.006862
2020-01-14,-0.002605,-0.002477,0.002883,0.003261,0.004241,0.00503,-0.002746,-0.002815,-0.000441,-0.001208
2020-01-15,-0.004924,-0.004363,0.000606,0.001283,-0.006611,-0.006924,0.003245,0.004086,-0.003135,-0.003208
2020-01-16,-0.004359,-0.002073,-0.000366,0.000489,-0.003617,-0.003853,0.005152,0.005793,-0.002582,-0.003737
2020-01-17,-0.000934,-0.00088,-0.002525,-0.002271,0.001478,0.001861,0.005422,0.006002,-0.0031,-0.00348
2020-01-20,0.008157,0.009456,0.002726,0.001786,-0.002744,-0.003353,0.000858,0.001674,-0.002257,-0.002723
2020-01-21,-0.013949,-0.013352,0.004177,0.003289,-0.002615,-0.00326,-0.000156,0.001121,0.001042,0.000537
2020-01-22,0.003282,0.004098,-0.003523,-0.003188,0.000779,0.000429,0.005633,0.006816,-0.005734,-0.005598
2020-01-23,-0.029294,-0.02949,-0.004256,-0.004317,0.00497,0.004592,-0.000452,0.000535,0.003235,0.001869
2020-02-03,-0.078931,-0.079716,-0.007799,-0.008285,-0.001034,-0.002487,0.003047,0.004297,0.000459,-0.000301
2020-02-04,0.016793,0.016369,-0.026527,-0.025172,-0.002849,-0.005743,0.021865,0.024093,-0.016607,-0.018586
2020-02-05,0.015109,0.016664,0.01224,0.010688,-0.00671,-0.006146,-0.007601,-0.006649,-0.000171,-5.7e-05
2020-02-06,0.019599,0.021011,0.005143,0.003806,-0.006617,-0.007215,-0.00624,-0.006033,-0.001476,-0.001787
2020-02-07,0.002128,0.003257,0.010355,0.010715,-0.006147,-0.006589,-0.001293,-0.002556,0.001025,0.001061
2020-02-10,0.006965,0.007623,0.008685,0.008203,0.002233,0.002399,-0.006053,-0.006364,0.000878,0.001345
2020-02-11,0.003647,0.002989,-0.009415,-0.008441,-0.000918,-0.000218,0.009078,0.008553,-0.005277,-0.005209
2020-02-12,0.010427,0.010965,0.00624,0.005542,-0.006183,-0.006569,-0.001959,-0.002089,3e-05,0.000531
2020-02-13,-0.007391,-0.007236,-0.004145,-0.003932,0.001321,0.001205,0.001539,0.001652,-0.002548,-0.002451
2020-02-14,0.004477,0.004296,-0.003885,-0.003535,0.002348,0.001586,0.00315,0.002642,-0.001637,-0.000997
2020-02-17,0.025024,0.026007,0.009901,0.009014,-0.004763,-0.004828,-0.0077,-0.007135,0.004599,0.00491
2020-02-18,0.002471,0.004147,0.018215,0.018033,-0.007082,-0.008633,-0.009104,-0.008363,0.002247,0.0026
2020-02-19,-0.003146,-0.003785,-0.001708,-0.001501,0.003254,0.002401,0.002535,0.001691,-0.002449,-0.002229
2020-02-20,0.018964,0.019354,0.001019,0.000579,-0.003142,-0.001526,-5.6e-05,-0.00131,0.002385,0.003319
2020-02-21,0.004895,0.00583,0.005641,0.004941,-0.00704,-0.007485,-0.00425,-0.004187,0.001399,0.001823
2020-02-24,0.001003,0.003001,0.014908,0.014191,-0.007597,-0.008772,-0.001693,-0.001514,5.9e-05,0.000309
2020-02-25,-0.00222,-0.00179,0.00279,0.002645,-0.002688,-0.003499,-0.001911,-0.001829,0.000892,0.000289
2020-02-26,-0.012532,-0.014877,-0.006199,-0.00667,0.020407,0.019852,-0.002424,-0.005268,0.006016,0.006959
2020-02-27,0.001874,0.001606,0.002066,0.002304,-0.002973,-0.003347,0.007788,0.006955,-0.004326,-0.004619
2020-02-28,-0.039607,-0.041162,-0.015358,-0.015002,0.011201,0.009433,0.010743,0.009575,-0.003564,-0.004651
2020-03-02,0.032993,0.033325,0.007322,0.007432,0.001173,0.00093,0.003312,0.00213,-0.001523,2e-06
2020-03-03,0.007642,0.008126,0.005201,0.005022,-0.002933,-0.003254,-0.002725,-0.002515,-0.002002,-0.001621
2020-03-04,0.0053,0.005173,0.005245,0.004218,0.004328,0.003324,6e-05,-0.002033,0.00034,0.00085
2020-03-05,0.018719,0.018968,0.000384,-0.000368,-0.003789,-0.002799,-0.000262,-7.2e-05,-0.001286,-0.000656
2020-03-06,-0.010747,-0.010434,0.012002,0.010776,-0.002068,-0.00309,-0.008782,-0.007631,0.003955,0.003113
2020-03-09,-0.032145,-0.03259,-0.002028,-0.002482,0.007105,0.006507,-0.008995,-0.008583,0.007394,0.006647
2020-03-10,0.019672,0.020088,0.001891,0.002482,-0.008499,-0.008429,0.00283,0.002398,-0.0044,-0.003125
2020-03-11,-0.011179,-0.01149,0.001842,0.001784,-0.000823,-0.000273,-0.00841,-0.00805,0.002677,0.002591
2020-03-12,-0.017154,-0.017254,-0.000608,-0.00049,0.005632,0.004806,-0.001592,-0.002929,0.004304,0.004476
2020-03-13,-0.012174,-0.011793,0.000641,-0.000135,-0.000857,-0.001791,-0.004135,-0.004647,0.001435,0.001314
2020-03-16,-0.037107,-0.038711,-0.001695,-0.002371,0.01212,0.011068,-0.005373,-0.006525,0.008678,0.00775
2020-03-17,-0.003614,-0.00364,0.001063,0.000555,0.006094,0.004531,0.000646,-8.9e-05,-0.002788,-0.002321
2020-03-18,-0.017613,-0.017198,0.002008,0.002009,-0.001119,-0.00185,0.003419,0.003451,-0.00355,-0.004387
2020-03-19,-0.007845,-0.006065,0.018522,0.017114,-0.004862,-0.005559,-0.006335,-0.00669,0.005234,0.005774
2020-03-20,0.01577,0.014937,-0.002188,-0.001445,-0.003199,-0.001727,0.004012,0.004072,-0.003972,-0.00341
2020-03-23,-0.033974,-0.035279,-0.005453,-0.004841,0.004694,0.004837,-1e-05,-0.001319,0.006499,0.005348
2020-03-24,0.023713,0.023021,-0.005544,-0.00464,-0.004295,-0.002981,0.002338,0.001673,-0.001905,-0.001625
2020-03-25,0.023469,0.024098,0.000605,0.000335,-0.005756,-0.005041,0.002089,0.004457,-0.006499,-0.006556
2020-03-26,-0.006527,-0.006448,-0.003348,-0.002515,0.000353,0.000306,-0.000225,0.002271,-0.00431,-0.00475
2020-03-27,0.000655,2e-05,-0.005324,-0.004692,0.006211,0.006437,0.008352,0.007872,-0.003229,-0.003325
2020-03-30,-0.012006,-0.01314,-0.01177,-0.011409,0.010343,0.010199,0.000313,0.000318,0.000392,0.000297
2020-03-31,0.00094,0.001614,-0.003621,-0.002533,-0.008581,-0.006156,0.000787,0.003015,-0.006405,-0.007691
2020-04-01,-0.00441,-0.004524,-0.001522,-0.0011,0.000484,-0.000274,0.003062,0.003337,-0.00176,-0.001299
2020-04-02,0.017817,0.01841,0.003697,0.004299,-0.008413,-0.007541,0.003275,0.003032,-0.002885,-0.001907
2020-04-03,-0.005866,-0.005684,0.001921,0.001721,-0.004423,-0.003736,-0.003443,-0.001779,-0.003759,-0.003995
2020-04-07,0.023332,0.024162,0.009739,0.008868,-0.007753,-0.007696,-0.002073,-0.002382,-0.003002,-0.002386
2020-04-08,-0.002459,-0.002154,0.008244,0.007151,-0.00052,-0.001729,-0.005767,-0.006103,0.00489,0.005495
2020-04-09,0.004985,0.005466,0.004185,0.003909,-0.005839,-0.005791,-0.001328,-0.001424,0.00329,0.002809
2020-04-10,-0.011811,-0.01324,-0.01473,-0.013989,0.003833,0.005069,0.006048,0.005756,-0.003112,-0.003313
2020-04-13,-0.005332,-0.005982,-0.003001,-0.002536,0.00305,0.003038,0.005784,0.006113,-0.002786,-0.002843
2020-04-14,0.016916,0.017803,0.001209,0.000529,-0.004904,-0.004983,0.001843,0.00256,-0.004136,-0.003822
2020-04-15,-0.005765,-0.005378,-0.000117,-0.000103,0.000924,0.00096,0.000216,0.001533,0.000777,-0.000465
2020-04-16,0.002828,0.003508,0.001518,0.001669,-0.001375,-0.001485,0.001057,0.001862,-0.000479,-0.00075
2020-04-17,0.006271,0.005605,-0.006889,-0.006023,-0.002102,-0.001929,0.008045,0.00731,-0.005885,-0.006236
2020-04-20,0.005739,0.006459,0.007046,0.007611,-0.004874,-0.005062,0.003201,0.00356,-0.003322,-0.004105
2020-04-21,-0.008918,-0.008701,0.006268,0.006112,0.002685,0.002165,-0.002284,-0.003097,0.001194,0.001307
2020-04-22,0.007157,0.007378,0.00285,0.002216,-0.00678,-0.006265,-0.000116,-0.000185,-0.003405,-0.002933
2020-04-23,-0.003007,-0.003334,-0.003011,-0.0031,-0.001007,-0.000184,-0.001844,-0.001989,-0.000712,-0.001162
2020-04-24,-0.011367,-0.012037,-0.010902,-0.009792,0.002185,0.003272,0.005194,0.004558,-0.001262,-0.001728
2020-04-27,0.002505,0.002027,-0.010979,-0.009827,0.001894,0.001987,0.006731,0.007302,-0.005599,-0.005633
2020-04-28,-0.001906,-0.002126,-0.020618,-0.018804,-0.004134,-0.00343,0.011424,0.014294,-0.011755,-0.012288
2020-04-29,0.003596,0.003351,-0.005964,-0.005336,0.010035,0.009011,0.004884,0.004425,-0.004303,-0.004045
2020-04-30,0.013846,0.01505,0.004645,0.004814,-0.003181,-0.002814,-0.004764,-0.00404,0.001797,0.00233
2020-05-06,0.007625,0.008677,0.008164,0.008473,-0.010593,-0.010727,0.002316,0.003417,-0.004929,-0.004234
2020-05-07,-0.002359,-0.001929,7.8e-05,0.000499,-0.001101,-0.001534,0.005222,0.005515,-0.004213,-0.003679
2020-05-08,0.009602,0.009829,0.00137,0.001725,-0.005056,-0.004629,0.002643,0.002778,-0.001736,-0.001441
2020-05-11,-0.000279,-0.000625,-0.000168,0.000678,0.003167,0.003868,0.001337,0.001321,-0.000962,-0.001185
2020-05-12,-0.000341,0.000501,-0.000804,-0.000337,-0.003325,-0.00364,0.003514,0.004812,-0.00412,-0.00464
2020-05-13,0.00337,0.004006,0.002794,0.003109,-0.00151,-0.001817,0.005489,0.006402,-0.004004,-0.004218
2020-05-14,-0.009871,-0.009565,0.001524,0.001721,-0.000388,-0.000578,-0.001156,-0.001566,0.001779,0.001859
2020-05-15,-6.2e-05,0.000332,0.002852,0.002878,0.002246,0.002098,-0.000552,-0.000514,-0.001708,-0.001748
2020-05-18,0.000598,-0.000317,-0.00779,-0.007032,-0.00144,0.000549,0.001958,0.002783,-0.006874,-0.007256
2020-05-19,0.009139,0.010005,0.003372,0.003587,-0.003699,-0.003948,0.003512,0.004663,-0.004502,-0.004733
